file,sha256,article_location,measurement
table_5_bciciv_2a_accuracy.csv,67467327b022852298169cc58bad8da59b7f6f108a6dcf3a6193b2c6ba75767f,Table 5,percent_accuracy
table_6_bciciv_2b_accuracy.csv,ea4098932ba59ecf9f4eb7731289c43f5d3c68db682cc1dc4fc2033fc437d8a6,Table 6,percent_accuracy
table_7_ssvep_accuracy.csv,72a5faa1f76a39c719954467867a20a2a1b7b09fe9a870356280209d730fc275,Table 7,percent_accuracy
table_8_p300_auc.csv,62bf20c51f13d6d2c89f052c6e8a127d8d7520b74292a67f2dc1778d40b72a8e,Table 8,percent_roc_auc
headline_results.csv,3016e150072b2d9cf6c74f6615fc95a76d6de8ecad57a96d795b0c40d40fac93,Abstract,percent
reconstruction_summary.csv,f94ecf7c6da7905377b4656d4ca3b952de8cb136f92ea233a59b01dac0bc6953,Section 6.2,mse
figure_5_example_errors.csv,80a6392481d45d661de67610fa9bdf176daf1de3bea10b59007b1e07ed8806e3,Figure 5,mse
figure_7_class_auc.csv,c99ee641230d1ceeb832607bf6f9d4908f9b9e67b5b5e8aa71bc4dfcf624c0bc,Figure 7,roc_auc
figure_9_retained_feature_counts.csv,790d68b9ca86de6d2beb605a54d0a24cf7bc8925367007270459d6dbd4ad7e17,Figure 9,count
figure_10_anova.csv,a41558168999e4412fe1bf48d7af324e46f7d6404b1dab6ec8ae83dd74cd7061,Figure 10,f_statistic_and_p_value
figure_14_ablation_configurations.csv,dc539c28fa174294cfb0b457ac103e25b53bb161419cd0e881dbbe0c7ab5d6e0,Figure 14,configuration
