method,citation,bnci2014_008,bnci2014_009,bi2012,bi2013a,bi2014b,bi2015a,bi2015b,sosulski2019,average
EEGITNet,45,86.00,92.21,89.65,90.01,86.27,90.71,83.33,88.82,88.37
EEGNeX,46,83.86,90.58,88.22,88.62,83.87,87.62,81.60,86.18,86.39
EEGNet,39,85.91,91.37,87.13,85.40,80.14,86.80,86.63,87.14,86.31
ERPCov+MDM,26,74.30,81.16,82.90,82.02,71.62,77.52,72.07,68.17,76.22
ERPCov(svdn4)+MDM,26,75.42,84.52,79.02,82.07,76.48,77.92,77.09,70.63,77.89
ConvNet,38,81.07,85.12,77.06,74.50,63.75,59.56,73.20,78.35,74.07
LDA,38,82.24,64.03,76.74,76.60,73.02,76.02,77.74,67.49,74.23
Barachant et al.,50,77.62,92.04,88.22,97.09,88.58,92.57,83.48,86.07,88.21
Chevallier et al.,51,85.61,93.15,90.99,92.71,91.88,93.05,84.56,98.44,91.30
This study,,96.74,91.95,92.86,90.32,89.93,91.43,95.12,86.07,91.80
